age,workclass,education_level,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,event_time,random_flag,source_system,event_time_std
23.0,Local-gov,Assoc-acdm,nan,nan,Protective-serv,Not-in-family,White,Male,0.0,0.0,52.0,United-States,<=80K,07/09/25,nan,web,
20.0,Private,Some-college,10,Never-married,Sales,nan,Black,Male,0.0,0.0,,United-States,<=80K,21/09/25,N,batch,
45.0,Private,Bachelors,nan,Divorced,Exec-managerial,Own-child,White,Male,0.0,,40.0,United-States,<=80K,05-29-2024,nan,app,
30.0,Unknown,Some-college,10.00,Married-civ-spouse,Adm-clerical,Own-child,White,Male,,0.0,40.0,nan,<=80K,09-27-2023,N,web,
,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,15.0,United-States,<=80K,10-24-2025,Y,batch,
48.0,Unknown,Under Graduate,7.00,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,40.0,Puerto-Rico,<=80K,02/10/26,N,batch,
21.0,Unknown,Some-college,10,Never-married,Machine-op-inspct,Own-child,nan,Male,0.0,0.0,40.0,United-States,<=80K,19/07/24,nan,batch,
19.0,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,,0.0,25.0,United-States,nan,01/11/25,Y,crm,
48.0,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=80K,16/12/23,nan,batch,
31.0,Private,Under Graduate,5.00,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,43.0,United-States,<=80K,01/12/24,N,crm,
53.0,Self-emp-not-inc,Bachelors,13,nan,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=80K,18/11/23,N,crm,
24.0,Private,Bachelors,nan,nan,Tech-support,Husband,White,Male,0.0,0.0,50.0,United-States,nan,30/12/23,N,batch,
49.0,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,nan,<=80K,nan,Y,app,
25.0,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,nan,Male,0.0,0.0,35.0,nan,<=80K,03-23-2026,Y,web,
57.0,Federal-gov,Bachelors,13,Married-civ-spouse,nan,Husband,Black,Male,,0.0,40.0,United-States,>80K,07/12/25,nan,web,
53.0,Private,nan,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,38.0,United-States,<=80K,12/02/25,N,app,
44.0,Private,Masters,14,Divorced,nan,Unmarried,White,Female,0.0,0.0,,United-States,<=80K,07/11/25,N,web,
41.0,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,nan,Male,0.0,0.0,40.0,United-States,<=80K,04/01/24,nan,app,
29.0,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,43.0,United-States,<=80K,22/08/24,Y,app,
25.0,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0.0,0.0,40.0,United-States,<=80K,04/03/24,N,app,
47.0,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,1902.0,60.0,Honduras,>80K,nan,N,batch,
47.0,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,,60.0,United-States,<=80K,05/01/24,N,web,
43.0,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,,0.0,40.0,United-States,>80K,13/11/23,nan,app,
46.0,Private,Under Graduate,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,<=80K,09-13-2023,Y,crm,
35.0,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,nan,0.0,0.0,40.0,Puerto-Rico,<=80K,14/10/25,Y,web,
41.0,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,48.0,United-States,<=80K,10/04/25,N,crm,
30.0,Private,HS-grad,9.00,nan,nan,Husband,White,Male,5013.0,0.0,40.0,United-States,<=80K,08-15-2024,nan,crm,
30.0,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407.0,0.0,40.0,United-States,<=80K,04/09/25,N,batch,
48.0,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,,,United-States,<=80K,13/11/23,nan,web,
42.0,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,>80K,11/08/25,N,app,
29.0,Private,Some-college,10.00,Divorced,Tech-support,Not-in-family,White,Male,0.0,0.0,58.0,United-States,nan,08/05/25,N,web,
36.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=80K,10-31-2023,N,app,
28.0,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,nan,nan,07/09/24,nan,app,
53.0,Private,HS-grad,9.00,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,>80K,10-22-2025,nan,web,
49.0,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>80K,05/09/25,nan,app,
19.0,Private,Some-college,10,Never-married,nan,Own-child,White,Male,0.0,0.0,32.0,United-States,<=80K,24/07/24,nan,app,
31.0,Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,0.0,,40.0,United-States,<=80K,09-25-2025,N,app,
29.0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,nan,Husband,White,Male,0.0,,70.0,United-States,nan,26/03/24,nan,web,
23.0,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,nan,0.0,0.0,40.0,United-States,<=80K,05/10/25,N,web,
79.0,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0.0,0.0,20.0,United-States,<=80K,01/02/25,Y,batch,
27.0,Private,HS-grad,9,Never-married,Other-service,nan,White,Male,0.0,0.0,40.0,Mexico,<=80K,22/09/25,nan,web,
40.0,Private,nan,nan,Married-civ-spouse,Adm-clerical,nan,White,Male,0.0,0.0,40.0,United-States,<=80K,27/08/23,Y,web,
18.0,Private,Under Graduate,7.00,Never-married,Other-service,Own-child,White,nan,0.0,,22.0,United-States,<=80K,27/02/24,nan,batch,
31.0,Local-gov,Under Graduate,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,nan,<=80K,13/06/25,Y,batch,
18.0,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,30.0,United-States,<=80K,04-26-2024,N,batch,
52.0,Private,Bachelors,nan,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,Cuba,<=80K,nan,nan,batch,
46.0,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,40.0,United-States,<=80K,11-23-2025,Y,web,
59.0,Private,nan,9.00,nan,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,<=80K,02-19-2025,Y,crm,
44.0,Unknown,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,nan,14344.0,0.0,,United-States,>80K,12/10/23,N,batch,
53.0,Private,HS-grad,9.00,Divorced,Sales,Own-child,White,Female,0.0,0.0,,United-States,<=80K,08/10/25,N,app,
49.0,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,>80K,12/05/24,nan,web,
33.0,Private,Masters,14.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,<=80K,04/08/23,Y,app,
30.0,Private,Under Graduate,5,Never-married,Sales,Not-in-family,nan,nan,0.0,0.0,40.0,United-States,nan,03-28-2025,nan,app,
43.0,Federal-gov,Doctorate,16,Never-married,nan,Not-in-family,White,Female,0.0,0.0,,United-States,>80K,03-31-2025,nan,crm,
57.0,Private,Assoc-voc,11.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=80K,19/12/25,nan,web,
37.0,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=80K,31/08/25,nan,crm,
28.0,Private,Some-college,10,nan,Machine-op-inspct,Unmarried,nan,Female,0.0,0.0,25.0,United-States,<=80K,12/11/25,nan,web,
34.0,Unknown,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,>80K,13/01/25,N,app,
29.0,Local-gov,Some-college,10.00,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,,United-States,<=80K,22/05/24,Y,web,
48.0,Self-emp-not-inc,Doctorate,16.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,60.0,United-States,>80K,19/07/25,nan,crm,
37.0,Private,Some-college,10,Married-civ-spouse,nan,Husband,White,Male,0.0,0.0,48.0,United-States,>80K,04/05/25,Y,web,
48.0,Private,Assoc-acdm,12,nan,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,England,nan,11-21-2025,nan,web,
32.0,Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0.0,0.0,40.0,United-States,nan,11-26-2023,nan,crm,
76.0,Unknown,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>80K,08/10/23,nan,crm,
44.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,60.0,United-States,>80K,13/02/26,Y,app,
47.0,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=80K,13/08/25,nan,web,
20.0,Private,nan,10,Never-married,Tech-support,Own-child,nan,nan,0.0,0.0,40.0,United-States,<=80K,09/12/25,Y,web,
29.0,Private,HS-grad,9.00,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=80K,12-30-2024,Y,app,
32.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,nan,White,Male,7688.0,0.0,40.0,United-States,>80K,26/02/24,nan,batch,
30.0,Unknown,Under Graduate,7.00,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,nan,06/10/25,nan,web,
31.0,Local-gov,HS-grad,nan,Never-married,Adm-clerical,Not-in-family,nan,Female,0.0,0.0,40.0,United-States,<=80K,21/01/25,Y,web,
42.0,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=80K,29/08/25,nan,app,
,Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0.0,0.0,40.0,United-States,<=80K,10/02/24,nan,batch,
,Private,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>80K,26/07/25,N,batch,
56.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0.0,1887.0,50.0,Canada,>80K,nan,nan,web,
28.0,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,4064.0,0.0,25.0,United-States,<=80K,12/05/25,Y,app,
36.0,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40.0,United-States,<=80K,26/10/23,N,app,
53.0,Private,Under Graduate,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,50.0,nan,nan,15/04/26,Y,batch,
56.0,Unknown,Some-college,10,Married-civ-spouse,nan,Husband,nan,Male,0.0,,50.0,United-States,<=80K,12/04/25,nan,app,
49.0,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,>80K,02/11/24,nan,web,
55.0,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,nan,,0.0,56.0,United-States,<=80K,09/06/23,nan,web,
22.0,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,nan,Male,0.0,0.0,41.0,nan,<=80K,24/06/25,nan,batch,
21.0,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0.0,0.0,40.0,United-States,<=80K,19/08/23,N,batch,
40.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,nan,White,Male,0.0,0.0,60.0,nan,<=80K,23/11/23,Y,crm,
30.0,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0.0,0.0,40.0,Germany,<=80K,11-27-2024,nan,web,
29.0,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,>80K,10/04/25,nan,web,
19.0,Private,Some-college,10,nan,Other-service,Own-child,Black,Male,0.0,0.0,35.0,United-States,<=80K,11-19-2024,N,batch,
47.0,Private,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,>80K,22/02/25,Y,batch,
20.0,Private,Some-college,nan,Never-married,Adm-clerical,nan,White,Female,0.0,1719.0,28.0,United-States,<=80K,21/10/24,nan,web,
31.0,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>80K,nan,nan,web,
39.0,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,nan,0.0,0.0,40.0,United-States,<=80K,12-20-2024,nan,web,
28.0,Private,Assoc-acdm,12,Never-married,Sales,nan,White,Female,0.0,0.0,60.0,United-States,<=80K,21/07/24,Y,app,
24.0,Unknown,nan,9,Never-married,Other-service,Not-in-family,White,Female,0.0,1762.0,40.0,United-States,<=80K,nan,N,app,
38.0,Self-emp-not-inc,HS-grad,9.00,Married-civ-spouse,nan,Husband,White,Male,4386.0,0.0,35.0,nan,<=80K,28/09/25,N,app,
37.0,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,<=80K,16/09/23,N,batch,
46.0,Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,nan,0.0,0.0,36.0,United-States,<=80K,28/03/26,Y,crm,
38.0,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,nan,White,Male,,0.0,40.0,Iran,>80K,02-21-2024,nan,crm,
43.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,,60.0,United-States,nan,11/10/24,Y,batch,
27.0,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,,35.0,United-States,<=80K,nan,Y,batch,
20.0,Unknown,nan,10,Never-married,Sales,Own-child,White,Male,0.0,0.0,20.0,United-States,<=80K,08/11/23,Y,crm,
49.0,Private,Some-college,10,Married-civ-spouse,nan,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,>80K,02-22-2024,nan,web,
61.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=80K,11/09/25,nan,crm,
27.0,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,<=80K,22/04/25,Y,batch,
45.0,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,1564.0,40.0,nan,>80K,29/11/25,Y,web,
70.0,Private,Some-college,10.00,Never-married,Tech-support,Other-relative,White,Male,0.0,0.0,40.0,United-States,<=80K,10-21-2024,N,web,
31.0,Private,HS-grad,9.00,Never-married,Transport-moving,Unmarried,Black,Female,,0.0,,United-States,<=80K,03/04/24,Y,batch,
22.0,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,,United-States,<=80K,nan,nan,web,
36.0,Private,HS-grad,9,nan,Other-service,Unmarried,White,Female,0.0,0.0,24.0,United-States,<=80K,12-20-2024,Y,batch,
64.0,Private,Under Graduate,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2179.0,40.0,United-States,<=80K,08/12/23,Y,batch,
47.0,Unknown,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,38.0,Mexico,<=80K,07/07/25,N,web,
34.0,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,nan,0.0,0.0,40.0,United-States,nan,21/09/23,nan,web,
33.0,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0.0,0.0,40.0,Philippines,<=80K,20/08/23,N,app,
21.0,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,35.0,United-States,nan,nan,Y,app,
48.0,Private,nan,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,46.0,United-States,<=80K,23/08/23,N,batch,
23.0,Private,Bachelors,13.00,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=80K,20/01/26,Y,batch,
71.0,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,0.0,1816.0,2.0,United-States,<=80K,18/11/25,N,app,
42.0,Unknown,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0.0,0.0,50.0,United-States,<=80K,10/08/23,nan,crm,
25.0,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=80K,16/09/23,Y,crm,
44.0,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,nan,0.0,0.0,40.0,United-States,<=80K,22/07/25,nan,crm,
28.0,Private,HS-grad,nan,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40.0,England,<=80K,21/01/26,Y,batch,
45.0,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,,United-States,nan,05/07/25,Y,batch,
39.0,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,42.0,United-States,<=80K,10/04/24,N,app,
46.0,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=80K,10-18-2024,nan,app,
18.0,Unknown,Under Graduate,7,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,16.0,United-States,<=80K,06-27-2025,nan,crm,
66.0,Local-gov,Assoc-voc,11.00,nan,Prof-specialty,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=80K,26/12/23,nan,web,
28.0,Unknown,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=80K,15/07/24,N,web,
51.0,Private,Some-college,10,Married-civ-spouse,nan,Husband,White,Male,0.0,1977.0,40.0,United-States,>80K,04/10/24,nan,web,
27.0,Private,Bachelors,13.00,Never-married,Craft-repair,Not-in-family,White,nan,,0.0,50.0,nan,<=80K,02-14-2026,Y,crm,
27.0,Private,nan,9,Married-spouse-absent,Sales,Unmarried,White,Female,0.0,0.0,,United-States,<=80K,27/10/25,N,web,
34.0,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=80K,25/07/24,Y,web,
18.0,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,,0.0,12.0,United-States,<=80K,27/03/25,nan,web,
33.0,Private,Bachelors,13.00,nan,Prof-specialty,Husband,White,nan,0.0,0.0,65.0,United-States,<=80K,24/09/25,nan,crm,
44.0,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,38.0,United-States,>80K,nan,nan,batch,
43.0,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=80K,17/05/25,nan,app,
30.0,Private,Some-college,10,Never-married,nan,Not-in-family,Black,Male,0.0,0.0,45.0,United-States,<=80K,31/01/26,N,web,
40.0,Unknown,Under Graduate,4,Married-civ-spouse,Machine-op-inspct,nan,White,nan,0.0,0.0,40.0,nan,>80K,20/03/26,nan,web,
37.0,Federal-gov,Some-college,10.00,nan,Adm-clerical,nan,White,Male,,0.0,42.0,United-States,>80K,12/08/23,N,app,
41.0,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=80K,27/04/26,nan,batch,
31.0,Private,Masters,14,Married-civ-spouse,Prof-specialty,nan,White,Female,0.0,0.0,50.0,United-States,nan,nan,nan,app,
58.0,State-gov,Doctorate,16.00,Married-civ-spouse,Prof-specialty,Husband,nan,Male,0.0,0.0,,United-States,nan,21/02/26,N,batch,
38.0,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,nan,Female,0.0,0.0,,United-States,<=80K,28/02/24,N,web,
24.0,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,nan,nan,Male,0.0,0.0,40.0,United-States,<=80K,09/12/25,Y,crm,
41.0,Local-gov,Bachelors,nan,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,<=80K,12/09/25,nan,app,
47.0,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45.0,United-States,<=80K,01/11/24,nan,app,
41.0,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,24.0,United-States,<=80K,20/11/24,nan,web,
23.0,Private,Under Graduate,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0.0,0.0,40.0,Mexico,nan,11/05/25,Y,app,
36.0,Private,Some-college,10.00,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=80K,18/01/26,Y,app,
40.0,Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,nan,14084.0,0.0,55.0,United-States,>80K,06-13-2024,Y,web,
,Private,Masters,14,nan,Prof-specialty,Other-relative,White,Male,7298.0,0.0,40.0,United-States,>80K,01-21-2024,Y,web,
24.0,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,,United-States,<=80K,11/12/23,N,crm,
26.0,Private,Masters,14.00,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,1876.0,40.0,United-States,<=80K,13/12/24,nan,batch,
51.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>80K,04/12/25,Y,batch,
42.0,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,,1340.0,40.0,nan,<=80K,08-22-2025,Y,app,
37.0,State-gov,HS-grad,9,Divorced,nan,Unmarried,nan,Female,0.0,0.0,35.0,United-States,<=80K,07-23-2025,Y,web,
18.0,Private,Under Graduate,7,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,<=80K,11/06/25,nan,crm,
36.0,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298.0,0.0,36.0,United-States,>80K,17/09/25,Y,batch,
35.0,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,nan,Male,0.0,,60.0,United-States,<=80K,12/10/24,nan,web,
58.0,Self-emp-inc,HS-grad,9,nan,Sales,Wife,White,Female,15024.0,0.0,35.0,nan,>80K,26/11/25,nan,batch,
,Private,Under Graduate,7,Never-married,Sales,nan,White,Female,0.0,0.0,12.0,United-States,<=80K,24/09/25,Y,web,
44.0,Local-gov,HS-grad,9,nan,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States,<=80K,15/01/26,Y,crm,
